block_group,tract,county,state,area_block_group,medincome_block_group,race_total_block_group,race_white_block_group,race_black_block_group,race_asian_block_group,hisp_total_block_group,hisp_yes_block_group,hisp_yes_black_block_group,hisp_yes_white_block_group,hisp_yes_asian_block_group,hisp_no_black_block_group,hisp_no_white_block_group,hisp_no_asian_block_group,grip4_block_group_dens_m_km2
"060170302002",Census Tract 302,El Dorado County,California,5894093.36051419,55417,1005,836,16,103,1005,155,4,141,0,12,657,103,1209.19069654922
"060170320002",Census Tract 320,El Dorado County,California,57643145.6753725,,44,34,6,4,44,5,0,5,0,6,29,4,0
"060374615011",Census Tract 4615.01,Los Angeles County,California,332277.334772402,75455,1016,649,106,188,1016,549,0,305,0,82,239,114,1892.07069264647
"060170318001",Census Tract 318,El Dorado County,California,1430070.06460085,156550,801,496,44,275,801,35,0,35,0,44,422,236,4035.19368109195
"060170320001",Census Tract 320,El Dorado County,California,10255191.0461288,73935,666,619,18,10,666,0,0,0,0,0,579,10,0
"060670087031",Census Tract 87.03,Sacramento County,California,1402874.41895688,104821,1249,1014,87,207,1249,58,0,16,0,67,920,141,7378.50791745858
"060670087042",Census Tract 87.04,Sacramento County,California,346400.990610687,107868,1476,845,114,533,1476,72,0,41,5,93,736,491,10696.4171581564
"060670087051",Census Tract 87.05,Sacramento County,California,3979833.95408436,128233,4328,2546,501,1389,4328,372,22,199,0,362,2109,1287,3779.47209403233
"060670087052",Census Tract 87.05,Sacramento County,California,76651861.8541869,125573,3587,2195,423,1323,3587,706,0,370,46,122,1338,1067,207.150137555748
"060670090101",Census Tract 90.10,Sacramento County,California,4249984.99612379,75815,2850,1697,445,787,2850,454,0,396,0,345,1125,694,2135.97149206955
"060371862011",Census Tract 1862.01,Los Angeles County,California,515515.399602981,62125,3437,1245,100,1267,3437,1702,0,803,53,100,421,1193,2740.37952106418
"060372371012",Census Tract 2371.01,Los Angeles County,California,120489.651188839,36382,1038,453,292,0,1038,746,0,424,0,263,0,0,0
"060372392012",Census Tract 2392.01,Los Angeles County,California,121988.029682215,31875,1258,216,213,0,1258,1029,0,205,0,211,11,0,0
"060371834011",Census Tract 1834.01,Los Angeles County,California,297381.325974943,53563,1354,746,25,260,1354,738,5,343,0,0,334,227,1989.40329703713
"060372398011",Census Tract 2398.01,Los Angeles County,California,124190.449226919,,799,351,104,0,799,714,0,318,0,78,4,0,0
"060372404012",Census Tract 2404.01,Los Angeles County,California,318395.863318184,38320,2350,706,838,42,2350,1627,21,579,0,681,0,35,1835.65311247719
"060372215001",Census Tract 2215,Los Angeles County,California,226579.171584622,26250,2423,703,624,105,2423,1645,0,672,0,621,31,105,0
"060650420082",Census Tract 420.08,Riverside County,California,15551133.3875595,116776,3931,2611,509,124,3931,1548,40,755,0,469,1764,124,930.122937009234
"060650422092",Census Tract 422.09,Riverside County,California,3794590.65117465,39292,1798,981,98,180,1798,1150,9,448,0,58,410,112,1943.51547096316
"060371956001",Census Tract 1956,Los Angeles County,California,134515.410972327,50500,986,702,0,24,986,751,0,453,0,0,211,24,3324.44289644586
"060379102011",Census Tract 9102.01,Los Angeles County,California,10437195.5724215,63859,2311,1700,496,206,2311,789,0,435,0,303,950,118,1987.73953098844
"060750204011",Census Tract 204.01,San Francisco County,California,115513.415490831,145795,1128,940,18,168,1128,117,0,86,0,18,825,139,8817.30189677625
"060750227041",Census Tract 227.04,San Francisco County,California,267234.514508659,172656,1194,965,16,274,1194,89,0,61,6,10,834,207,0
"060750257013",Census Tract 257.01,San Francisco County,California,152446.018176937,84038,1246,217,41,831,1246,317,20,126,14,21,91,817,1396.27727629202
